Time (s),A-output,B-output
4.054963,-0.008945,-0.005522
4.059963,0.004932,0.005357
4.064963,0.008643,-0.001747
4.069963,-0.001604,-0.020364
4.074963,0.002493,-0.015703
4.079963,0.016334,-0.004759
4.084963,0.013254,-0.013576
4.089963,0.004596,-0.021230
4.094963,0.010093,-0.012184
4.099963,0.020139,-0.002893
4.104963,0.014889,-0.011713
4.109963,0.006983,-0.038680
4.114963,0.015749,-0.042779
4.119963,0.031851,-0.022848
4.124963,0.034932,-0.003490
4.129963,0.021834,0.007900
4.134963,0.006539,0.004950
4.139963,0.015542,0.010753
4.144963,0.029200,0.017661
4.149963,0.011227,0.004645
4.154963,-0.013908,-0.005908
4.159963,-0.024048,0.007660
4.164963,-0.014338,0.016553
4.169963,-0.010890,0.015453
4.174963,-0.022903,0.003003
4.179963,-0.030508,-0.004909
4.184963,-0.019156,-0.003280
4.189963,-0.005418,0.003038
4.194963,-0.009333,0.006121
4.199963,-0.034601,0.002279
4.204963,-0.043513,0.000326
4.209963,-0.028504,0.009017
4.214963,-0.025036,0.010958
4.219963,-0.038791,-0.003197
4.224963,-0.039765,-0.002195
4.229963,-0.023077,0.013249
4.234963,-0.016728,0.018342
4.239963,-0.029556,-0.003743
4.244963,-0.034991,-0.010077
4.249963,-0.016430,0.013712
4.254963,-0.013744,0.020008
4.259963,-0.024187,0.007993
4.264963,-0.017986,0.016911
4.269963,-0.002169,0.033441
4.274963,-0.002024,0.025233
4.279963,-0.004818,0.007274
4.284963,0.004644,0.001710
4.289963,0.016418,0.006388
4.294963,0.018762,0.003567
4.299963,0.010870,-0.011577
4.304963,0.013207,-0.011996
4.309963,0.022361,-0.005324
4.314963,0.018122,-0.009793
4.319963,0.018270,-0.004024
4.324963,0.027310,0.007046
4.329963,0.023761,0.000503
4.334963,0.013939,-0.016857
4.339963,0.020136,-0.007464
4.344963,0.028420,0.011201
4.349963,0.011800,0.000077
4.354963,0.001125,-0.013690
4.359963,0.012510,0.001997
